conversation_id,turn_no,speaker,utterance,strategy
9,1,0,Is the display of the OnePlus 9 Pro screen type AMOLED?,7
9,1,1,"Yes, the display of the OnePlus 9 Pro is an AMOLED screen.",1
9,2,0,I have no idea how to interpret that information. I will need to look into it more.,7
9,2,1,"I understand your budget constraints. However, I'm sorry I cannot reduce the price of the OnePlus 9 Pro. I'm sure that it is worth $31400.0 It has a 6.7-inch AMOLED display, Snapdragon 888 chipset, 5G connectivity, up to 12GB of RAM, up to 256GB of storage, and a quad-camera system with 48MP primary sensor. It also has a compact and comfortable design, making it ideal for everyday use. I'm sure that you will be pleased with it even for $42000.0",1
9,3,0,"$31400.0 is the biggest amount that I can go, I can afford it.",5
9,3,1,"I understand that $31400.0 is too high for you. However, I'm willing to meet you in the middle at $33800.0 Is this acceptable?",4
9,4,0,"I do not want to buy the delivery from you, can we modify the deal and just buy the phone?",2
9,4,1,"I would be happy to modify the deal - I can do anything for you, you are my customer.",7
9,5,0,What are the SmartPhone features of the OnePlus 9 Pro?,7
9,5,1,"The Smartphone features include a 6.7-inch AMOLED display, Snapdragon 888 chipset, 5G connectivity, up to 12GB of RAM, up to 256GB of storage, and a quad-camera system with 48MP primary sensor.",1
9,6,0,Does the OnePlus 9 Pro include 5G network connectivity?,7
9,6,1,"Yes, the OnePlus 9 Pro includes 5G network connectivity.",1
9,7,0,I can afford the price of $30900.0,5
9,7,1,"I'm glad to hear that, I can assure you that you will be happy with your purchase. Let's proceed with the transaction!",7
13,1,0,at other features does the HP Envy 6055e printer have?,7
13,1,1,"The HP Envy 6055e printer has the following features. Wireless connectivity, automatic two-sided printing, and a 2.2-inch touchscreen display. It has a print speed of up to 10 pages per minute in black and white and up to 7 pages per minute in color. along with a A Ink or toner cartridges called Brother LC3013BK Ink Cartridge. This black ink cartridge is compatible with Brother MFC-J491DW, MFC-J497DW, MFC-J690DW, MFC-J895DW printers. It features Brother's Innobella ink technology for high-quality and vivid prints., and a A Wireless adapters called Linksys WUSB6300.",1
13,2,0,What would be the price for this printer along with this ink or toner cartridges and this wireless adapter?,7
13,2,1,"The printer, along with the ink and toner, the wireless adapter and the power cord, the total is $34300.0",7
13,3,0,"the printer compatible with multiple operating systems, such as Windows and Mac?",7
13,3,1,"Yes, the printer is compatible with multiple operating systems. Is there anything else I can help you with?",1
13,4,0,"customer is negotiating with a seller about a product. The customer wants to ask for another deal to the seller. The initial deal was a printer called HP Laserjet Pro M255wprn. This color laser printer is designed to print all your documents, photos, and graphics with confidence. It provides a fast and reliable printing experience, and it is designed to work with a wide range of applications. Print your documents with professional quality, high-gloss paper, or an optional high-capacity toner cartridge. Print, scan, copy, and fax with a wireless network and a duplexer. The price for this deal was $23800.0 The customer wants to remove the toner cartridge from the deal.",7
13,4,1,"Since the customer wants to remove the toner cartridge from the deal, the price of the bundle will now be $33800.0",3
13,5,0,"Hi, I would like to buy the printer but I do not need the ink or toner. What can you offer?",7
13,5,1,"Well, I can offer you the printer for $22800.0 and the toner and ink for $32800.0 how does that sound?",7
13,6,0,"I do not want this printer, can you sell me the printer for $22200.0",5
13,6,1,"Oh I see, I can remove the printer from the bundle and sell you the printer, two printers, a scanner, and a printer stand for $32200, but $22200.0 is too less! How about $32200.0",4
13,7,0,"$22200.0 is the highest that I can go, I am sorry, but I am unwilling to buy this product.",4
13,7,1,"I understand that you are unwilling to spend that much on a printer. However, I'm sure that the HP Envy 6055e will meet your expectations, since it is the latest model from HP and is also a great value for the money. It has a 2.2-inch touchscreen display, which makes it easy to use. It also has a print speed of up to 10 pages per minute in black and white and up to 7 pages per minute in color. It has a wireless connectivity with a 2.4GHz/5GHz dual-band Wi-Fi, 802.11ac standard, up to 867Mbps wireless speeds, selectable dual-band, internal antenna, USB 3.0 interface.",1
13,8,0,Could you please tell me about the Ink or toner cartridges?,7
13,8,1,"These ink or toner cartridges are compatible with Brother MFC-J491DW, MFC-J497DW, MFC-J690DW, MFC-J895DW printers. It features Brother's Innobella ink technology for high-quality and vivid prints.",1
13,9,0,What is your best offer for this product?,7
13,9,1,The best offer for this product is $33100.0,6
13,10,0,What will be the total price if I were to buy the printer along with the ink cartridges and the wireless adapter?,7
13,10,1,"$33600.0 total, how does that sound?",7
13,11,0,Let me know about the wireless adapters with this printer?,7
13,11,1,This printer comes with wireless adapters. Does that answer your question?,1
13,12,0,"I'm sorry, but I will not accept your offer of $'NA' since my budget is limited to $24900.0 Good bye",7
18,1,0,"Hello, I am interested in buying the Samsung AC, but I do not need the wall bracket. Is it possible to buy the AC without the wall bracket? What would be the new price?",2
18,1,1,"Yes, the AC without the wall bracket would be $30100.0 that is a killer deal for the product.",3
18,2,0,What is your offer if I buy the AC along with the brackets?,2
18,2,1,For the AC it will be $24500.0 for the brackets I will sell you for $31000.0 it is a killer deal.,2
18,3,0,"$24500.0 is the maximum that I can afford for this product, I cannot go any higher.",5
18,3,1,"I understand that $24500 is the maximum you can afford for this product, and I'm willing to meet you in the middle at $24500.0 This is a top-of-the-line product, and it will meet your needs. However, I cannot go any lower than $28400.0 Shall we shake on this?",4
18,4,0,"I understand that $26600 is the maximum you can afford for this product, and I'm willing to meet you in the middle at $28400.0 This is a top-of-the-line product, and it will meet your needs. However, I cannot go any lower than $26600.0 Shall we shake on this?""",4
18,4,1,"Sure, I'm willing to meet you in the middle at $26600.0 Is that okay with you? Shall we proceed to checkout?",4
18,5,0,"Sure, I'm willing to go to $26600.0 Is that okay with you?",4
18,5,1,"I am grateful for your enthusiasm and I'm confident that you will be satisfied with your purchase, but I will have to decline.",7
37,1,0,"I'm sorry, but $44600.0 is still a bit too high for me. Can you give me a discount and sell it for $9800.0",4
37,1,1,"Hello there! Thank you for your interest in the Viking VEDO5302SS. I'm sorry, but I'm not able to go down to $9800.0 If you are interested in purchasing it for $10500.0 please let me know.<|endoftext|>",7
37,2,0,"will pay the amount you quote me within the next 24 hrs.""",7
37,2,1,"Thank you, I'm glad that you find the product to be satisfactory. I am confident that you will be satisfied with your purchase. We can now proceed with the transaction!",7
